Año,Clave_Ent,Entidad,Cve. Municipio,Municipio,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Sexo,Rango de edad,Mes,Valor,Fecha
2026,26,Sonora,26001.0,Aconchi,Otros bienes jurídicos afectados (del fuero común),Narcomenudeo,Narcomenudeo con fines de venta,Narcomenudeo con fines de venta,No identificado,No especificado,Enero,0,2026-01-01
2026,26,Sonora,26001.0,Aconchi,Otros bienes jurídicos afectados (del fuero común),Narcomenudeo,Narcomenudeo posesión simple,Narcomenudeo posesión simple,No identificado,No especificado,Enero,0,2026-01-01
2026,26,Sonora,26001.0,Aconchi,Otros bienes jurídicos afectados (del fuero común),Otros delitos del Fuero Común,Otros delitos del Fuero Común,Otros delitos del Fuero Común,No identificado,No especificado,Enero,0,2026-01-01
2026,26,Sonora,26001.0,Aconchi,Otros bienes jurídicos afectados (del fuero común),Suplantación y usurpación de identidad,Suplantación y usurpación de identidad,Suplantación y usurpación de identidad,No identificado,No especificado,Enero,0,2026-01-01
2026,26,Sonora,26001.0,Aconchi,Otros bienes jurídicos afectados (del fuero común),Tortura,Tortura,Tortura,No identificado,No especificado,Enero,0,2026-01-01
2026,26,Sonora,26002.0,Agua Prieta,El patrimonio,Abuso de confianza,Abuso de confianza,Abuso de confianza,Hombre,30 a 60 años,Enero,0,2026-01-01
2026,26,Sonora,26002.0,Agua Prieta,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,Hombre,18 a 29 años,Enero,1,2026-01-01
2026,26,Sonora,26002.0,Agua Prieta,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,Hombre,30 a 60 años,Enero,2,2026-01-01
2026,26,Sonora,26002.0,Agua Prieta,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,Mujer,18 a 29 años,Enero,2,2026-01-01
2026,26,Sonora,26002.0,Agua Prieta,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,Mujer,30 a 60 años,Enero,1,2026-01-01
